id,name,latitude,longitude,photo_reference,place_id,price_level,rating,category
fe2a453d161ca31ca267ed2124bd7c4d818b3019,Enrique Tomás JAMON-TAPAS-VINO,41.3574072,2.0672965,CmRaAAAA7S_JV6j9RYU5v5Qg720dIs6QrwbpvUtVq8OZdZ6yD5BpIqPH4eKQ_yXTyADbe58GCgV5FkfHYUUChqCirGdxJWU3Y9BObMof90RXrAk6FfwC_0WqVS0qgG9ZNIxMQ-duEhDRwn0akj_ztGSIS6bahDZhGhRjAREql8ns46ZXcpERO-HrO4t8CQ,ChIJ3528TVmZpBIR9Bl_suIm-M8,Missing: key_name,4.1,Otro
08ec91598fb7048290ec0bb0fdb850e2cf4423b1,Naru Sushi,41.35891169999999,2.0716423,CmRaAAAAAjKPJdlLhO7UhJFgONhGNZ3GmRYQ26Fs5L5rRzhWFAfbVY0o97cAOocHOnFkcGc8J_0m8BY4rrJsaT9FbMfeximN-yb30nXJPGKipxblvSt_Xr6jTvd5-OSWHb_4v3QtEhBonZHwK14ywKIpHDlKxVX2GhRBfEY03XF_e0rJx-sJvjYzcKIPJA,ChIJ3bX-JEOZpBIRj8x-K5gS3hY,2,4.3,Otro
b6acd24c4f983644959088114904f25ddf527b06,Boca Rapid,41.3574798,2.066965,CmRaAAAAqMVXj6h_yCSRvZRkZ5mIiePZgjhOH52EdKdPtQ0Vn2aQZPFGwlcT8pzr3cm0SfkqrlFSBSNCemD-irf3xc10_g8YZUe9Kc5hvPFvVbdzjQ-kvF9RGAPZuBf4VRdgDQE0EhBkO6gtscdCrIGpRqsBN-yFGhT3jbpOFQNOfRM-mJT7dTIJeyKaGw,ChIJVyBVrFiZpBIRTNYd4o7Brpc,1,3.9,Otro
4922d015005d74b784f7a1f8b68a1be551ea7854,Restaurant Florida,41.3569222,2.075944,CmRaAAAA0jenVkryucdUopLMPKh20zWrYhdNS_IjFxplji7qaMAUjAwDkW1q9L_mzOvMcspgdmOFQIJ7iCsURG_k1ivfi0aygEPbzbnlpmTDSuvnhJd6DI0Kb2kiKKcEXr0mVvt9EhD-43_DGiMN1vAJB9dohJSJGhTEYDQJWr1xOJKj0zIcWcA6OlLP3g,ChIJ0-aZRFuZpBIRMcWUaceNQ8Q,1,3.6,Otro
4b9529f76a4ecf1c9ab5411d7c27c6e4dcef3d59,El Chullo.pe,41.3577365,2.0666035,CmRaAAAAazCwN6ot_wQ7uwVkKJH64RXQorMrhOswmlivXyo1-nvZTJuR0tY3kd_yTrFBE2y4JtE_KyQkAwGIV1cTUzC7g9lrkE54BIBu7Tt8SDsC-_w8DYjeeA5g9WIqaPWgR1bwEhCcVtFC0LADTKHL8J2MzSWcGhSVtKutxw6WjFXwHKMFsRPy-GJtgA,ChIJM5i8TVmZpBIRAKRXnIZ8KSk,Missing: key_name,3.9,Otro
adfd8443a08747bd7535aad38197149bd0f82bd1,El Tio Rufino,41.359282,2.071886,CmRaAAAAB6UH0qyShrADa3-MRwXGgE5Z0bCMsj5nc_OqhkxuiLQwzPJZ-Ax1U_tiSecee0XI0en6EehTwCa2DWnVqdDYkuOQ6PRCb7aBSpuhfWUhdkopJ2S8pGGdkCMHGxbIy_nKEhA0GmlAzqPzQ_R03Ouwa27hGhQlrbQFt1p0v9ehQwjTwymVVW6g0A,ChIJR9L7JFyZpBIR-rxeYV8mFLw,1,4.0,Otro
5095012bb748099f7b492f7f3cd33d4df9b93b6b,Restaurante Cervecería El Coto,41.3574441,2.0661645,CmRaAAAAYurYhQBsfLZaKBSWRcMJCdMMSf6XNcjRdW7VStQW4hGTzGVNTqwspzLdOYDCP3_kXfat0IxPzF8vkU0mEcR4tGo0TvqvFejUaXdaSVUAWCuyQiMD6T0SNDlazEufz-0NEhBHGbyuyU55XiYSoTTfvZQkGhSj8ys9-YsEyo9AmxD4SAFQOZj6Fg,ChIJ32X4xliZpBIREu93OR0prjI,Missing: key_name,3.5,Otro
451fe23004182d2a6244d0e8dce5191b9ce57b2f,Namaste,41.35124,2.071730000000001,Missing: key_name,ChIJT_H1yVCZpBIRiReB_wjTwSM,1,4.3,Otro
14f503b2c231954e53ca01d5128ba65865234acd,Pizzería Carlos Cornella,41.358829,2.074422,CmRaAAAAPnwYAZ0medkVmVpODc9-ibnh7B57wLeMJF1VAClyzd1oyhwJ1MOt9DSL4rLu5Na-Rd780Gr25Da04Ejzg0KgO6VG8HPzEs_uZKNW_8N21mtxDiXZW1ZPFaW2Bh2Enp-YEhAbyznnKzhIc_wKHgocFM8UGhTEmC9W-PGiShYuuqDuPYFr-vxa1A,ChIJQQ2W8lyZpBIRbJu53Jw_rOY,1,3.7,Otro
d714e0762c9d4632eeff20e9036701e580a7cba6,Restaurante La Tagliatella,41.3561513,2.0669157,CmRZAAAA4qf1a1TlH6mtCTOQ15rW0DUNLdLvX_hzWl9tizxAf-KSNvsa6vghW2BWhE70YUrFBA3XrkAOtIhYyZc4_RlFyqcnoo3UUOUUBiD0MkWx59T3jQLyh7tD1wOk31eu06bsEhAdVyte-18a-o765M7LLBvXGhQBsOQbqIiYRkcqp9_3rQa4SQ-Tvg,ChIJdQEWX2aZpBIRyx2kBThxvjg,2,3.8,Otro
